#This is a tab-delimited file. Additional Documentation can be found at http://www.mothur.org/wiki/MIMarks_Data_Packages.																		
#Please fill all the required fields indicated with '*'																		
#Unknown or inapplicable fields can be assigned NA value.																		
#You may add extra custom fields to this template. Make sure all the fields are separated by tabs.																		
#You may remove any fields not required (marked with '*'). Make sure all the fields are separated by tabs.																		
#You can edit this template using Microsoft Excel or any other editor. But while saving the file please make sure to save them as 'TAB-DELIMITED' TEXT FILE.																		
#Environmental:MIMARKS.specimen.host-associated.4.0																		
*sample_name	*organism	*collection_date	*biome	*feature	*material	*geo_loc_name	*lat_lon	*title	*seq_methods	samp_mat_process	*host	chem_administration	diet	genotype	samp_store_temp	sex	exp_day	mouse_id
AllAbs_m7246_d0	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day 0 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	0	AllAbs_m7246
AllAbs_m7246_d21	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day 21 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	21	AllAbs_m7246
AllAbs_m7246_d25	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day 25 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	25	AllAbs_m7246
AllAbs_m7246_d41	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day 41 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	41	AllAbs_m7246
AllAbs_m7246_d46	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day 46 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	46	AllAbs_m7246
AllAbs_m7246_d69	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day 69 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	69	AllAbs_m7246
AllAbs_m7246_d70	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day 70 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	70	AllAbs_m7246
AllAbs_m7246_dneg8	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7246 that received Streptomycin, Vancomycin, and Metroindazole on day -8 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	-8	AllAbs_m7246
AllAbs_m7247_d0	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day 0 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	0	AllAbs_m7247
AllAbs_m7247_d21	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day 21All of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	21	AllAbs_m7247
AllAbs_m7247_d25	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day 25 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	25	AllAbs_m7247
AllAbs_m7247_d41	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day 41 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	41	AllAbs_m7247
AllAbs_m7247_d46	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day 46 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	46	AllAbs_m7247
AllAbs_m7247_d69	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day 69 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	69	AllAbs_m7247
AllAbs_m7247_d70	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day 70 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	70	AllAbs_m7247
AllAbs_m7247_dneg8	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7247 that received Streptomycin, Vancomycin, and Metroindazole on day -8 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	-8	AllAbs_m7247
AllAbs_m7248_d0	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day 0 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	0	AllAbs_m7248
AllAbs_m7248_d21	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day 21 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	21	AllAbs_m7248
AllAbs_m7248_d25	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day 25 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	25	AllAbs_m7248
AllAbs_m7248_d41	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day 41 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	41	AllAbs_m7248
AllAbs_m7248_d46	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day 46 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	46	AllAbs_m7248
AllAbs_m7248_d69	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day 69 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	69	AllAbs_m7248
AllAbs_m7248_d70	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day 70 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	70	AllAbs_m7248
AllAbs_m7248_dneg8	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7248 that received Streptomycin, Vancomycin, and Metroindazole on day -8 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	-8	AllAbs_m7248
AllAbs_m7991_d0	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7991 that received Streptomycin, Vancomycin, and Metroindazole on day 0 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	0	AllAbs_m7991
AllAbs_m7991_d45	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7991 that received Streptomycin, Vancomycin, and Metroindazole on day 45 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	45	AllAbs_m7991
AllAbs_m7991_d47	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7991 that received Streptomycin, Vancomycin, and Metroindazole on day 47 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	47	AllAbs_m7991
AllAbs_m7991_d5	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7991 that received Streptomycin, Vancomycin, and Metroindazole on day 5 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	5	AllAbs_m7991
AllAbs_m7991_d69	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7991 that received Streptomycin, Vancomycin, and Metroindazole on day 69 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	69	AllAbs_m7991
AllAbs_m7991_d74	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7991 that received Streptomycin, Vancomycin, and Metroindazole on day 74 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	74	AllAbs_m7991
AllAbs_m7991_dneg7	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7991 that received Streptomycin, Vancomycin, and Metroindazole on day -7 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	-7	AllAbs_m7991
AllAbs_m7992_d0	mouse gut metagenome	2013	mouse gut	feces	feces	USA: Michigan: Ann Arbor	42.2820973 N 83.7338904 W	"Animal AllAbs_m7992 that received Streptomycin, Vancomycin, and Metroindazole on day 0 of the model"	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	http://www.mobio.com/images/custom/file/protocol/12955.pdf	Mus musculus	Vanc/Met/Strep	LabDiet 5001	C57BL/6	-80 C	male	0	AllAbs_m7992
